Format,AiM CSV File,,,,,,,,,,,,,,,,
Session,F.Corta Var6,,,,,,,,,,,,,,,,
Vehicle,Kosmic Rotax Junior,,,,,,,,,,,,,,,,
Racer,CS,,,,,,,,,,,,,,,,
Championship,RMC,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,
Date,"Sunday, December 15, 2024",,,,,,,,,,,,,,,,
Time,1:34 PM,,,,,,,,,,,,,,,,
Sample Rate,20,,,,,,,,,,,,,,,,
Duration,535.996,,,,,,,,,,,,,,,,
Segment,Session,,,,,,,,,,,,,,,,
Beacon Markers,62.774,117.713,171.05,224.169,276.63,329.063,381.672,434.819,489.525,535.996,,,,,,,
Segment Times,01:02.8,00:54.9,00:53.3,00:53.1,00:52.5,00:52.4,00:52.6,00:53.1,00:54.7,00:46.5,,,,,,,
,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,Engine RPM,Water Temp,Exhaust Temp,GPS G Sum
s,km/h, ,g,g,deg,deg,deg/s,m,mm,km/h,m,deg,deg,rpm,C,C,g
,,,,,,,,,,,,,,,,,
2.15,38.2845,14,0.6478,0.1231,0.9904,146.0497,34.7098,158.5319,1440.8333,0.504,17.5546,45.51666232,10.00549328,4965.2002,8.2,0,0.6329
2.2,38.3624,14,0.6421,0.1352,1.0015,147.1703,34.2527,158.5793,1434.9999,0.504,17.8251,45.51665802,10.00549683,5000.2002,8.2,0,0.6364
2.25,38.4895,14,0.6381,0.1494,1.0131,148.3714,33.8771,158.6266,1429.1667,0.504,18.0824,45.51665363,10.00550026,4978.4668,8.2,0,0.647
2.3,38.8773,14,0.635,0.1675,0.9784,150.5152,33.5295,158.6581,1425,0.504,18.4539,45.51664901,10.00550328,4932.6001,8.2,0,0.6518
2.35,39.265,14,0.632,0.1857,0.9438,152.659,33.1819,158.6896,1420.8333,0.504,18.8332,45.51664439,10.0055063,4901.7998,8.2,0,0.6575
2.4,39.6507,14,0.6271,0.1917,0.9401,154.0753,32.6974,158.7352,1416.6666,0.516,19.3,45.5166396,10.00550932,4928.3335,8.2,0,0.662
2.45,40.0357,14,0.6218,0.1948,0.9441,155.3098,32.1787,158.7844,1412.5,0.531,19.8015,45.51663476,10.00551232,5024.3477,8.2,0,0.6663
2.5,40.3776,14,0.6115,0.1874,0.9114,156.8721,31.402,158.8179,1407.5,0.54,20.4646,45.51662983,10.00551513,5060.5796,8.2,0,0.6492
2.55,40.6548,14,0.5938,0.1645,0.8233,158.9259,30.2384,158.8278,1401.25,0.54,21.398,45.51662476,10.00551761,5070,8.2,0,0.6003
2.6,40.7057,14,0.5518,0.1504,0.8168,160.2664,27.9296,158.8773,1400,0.528,23.1959,45.51661963,10.0055199,5118.7744,8.2,0,0.5542
2.65,40.7,14,0.5036,0.1385,0.8308,161.4286,25.3344,158.9368,1400,0.513,25.5684,45.51661449,10.00552213,5234.5,8.2,0,0.5086
2.7,40.7196,14,0.4727,0.1345,0.8509,162.1847,23.6232,158.9954,1397.5,0.513,27.4337,45.51660936,10.0055244,5397.3335,8.2,0,0.4768
2.75,40.7772,14,0.4677,0.1422,0.8803,162.3318,23.2379,159.0527,1391.25,0.5355,27.928,45.51660426,10.00552673,5450.6665,8.2,0,0.4659
2.8,41.3931,14,0.4842,0.1435,0.8808,163.7026,23.9096,159.0943,1386.6667,0.528,27.5534,45.51659881,10.00552865,5533.25,8.2,0,0.505
2.85,42.1485,14,0.506,0.1432,0.8739,165.3795,24.8455,159.1318,1382.5001,0.513,26.9994,45.51659328,10.00553047,5612.0835,8.2,0,0.5567
2.9,42.5728,14,0.522,0.1346,0.8826,167.0367,25.4948,159.1706,1378.3333,0.51,26.5767,45.51658776,10.00553205,5683.75,8.2,0,0.5857
2.95,42.5004,14,0.5292,0.1136,0.9146,168.6647,25.714,159.2113,1374.1666,0.525,26.3053,45.51658225,10.00553327,5825.5,8.2,0,0.5811
3,42.4279,14,0.5364,0.0927,0.9465,170.2926,25.9332,159.252,1370,0.54,26.0385,45.51657674,10.0055345,6125.5,8.2,0,0.5779
3.05,42.1962,13,0.5093,0.0748,0.9527,171.4822,24.5226,159.2949,1370,0.5175,27.3859,45.51657137,10.00553534,6290.5,8.2,0,0.5202
3.1,42.1014,13,0.4703,0.057,0.9655,172.3569,22.5725,159.343,1368.3333,0.504,29.685,45.51656597,10.00553622,5959.75,8.2,0,0.4684
3.15,42.2123,13,0.4136,0.0396,0.9882,172.7594,19.8133,159.3988,1364.1666,0.504,33.908,45.51656054,10.00553716,5605.4165,8.2,0,0.4242
3.2,42.3231,13,0.357,0.0222,1.0109,173.1618,17.054,159.4546,1360,0.504,39.4976,45.51655511,10.0055381,5295.8335,8.2,0,0.3804
